name,f1_score,roc_auc_score,total_actives,predicted_actives,version,f1,roc_auc,accuracy
tyrosine_protein_kinase_hck,0.9189189189189187,0.925,20,17,py35,0.85,0.9497568881685574,0.9905808477237048
nad_dependent_protein_deacetylase_sirtuin_1,0.9166666666666666,0.9979123173277662,11,13,py27,0.6956521739130435,0.9958246346555324,0.9857142857142858
bdnf_nt_3_growth_factors_receptor,0.9142857142857144,0.9688057040998218,17,18,py27,0.8125,0.9985320331341092,0.9896193771626296
metabotropic_glutamate_receptor_2,0.9142857142857144,0.943616629874908,18,17,py35,0.8947368421052632,0.9989882266372332,0.9935691318327974
carbonic_anhydrase_5b_mitochondrial,0.9130434782608696,0.9368093922651934,24,22,py27,0.7619047619047621,0.8374482044198894,0.9866310160427808
lysosomal_pro_x_carboxypeptidase,0.9130434782608696,0.9552128386068748,69,69,py27,0.9037037037037036,0.9929464805119256,0.9944938585345192
mast_stem_cell_growth_factor_receptor_kit,0.9130434782608696,0.9552732996797482,69,69,py35,0.8918918918918919,0.9907904973855144,0.9935275080906149
nicotinamide_phosphoribosyltransferase,0.9117647058823528,0.9482349961099352,69,67,py27,0.8985507246376812,0.9904105375526968,0.994336569579288
atp_binding_cassette_sub_family_c_member_8,0.9090909090909092,0.9166666666666669,6,5,py27,0.8333333333333334,0.9947183098591548,0.9864864864864864
dipeptidase_1,0.9090909090909092,0.9166666666666669,6,5,py35,0.8333333333333334,0.9131455399061034,0.9864864864864864
interleukin_8,0.9090909090909092,0.9166666666666669,6,5,py35,0.8571428571428571,0.9976525821596244,0.9864864864864864
5_hydroxytryptamine_receptor_1a,0.9053177691309988,0.9303080603939892,405,366,py27,0.886046511627907,0.9899540712307876,0.9937535853145516
tyrosine_protein_kinase_btk,0.9051094890510948,0.9242613377331046,73,64,py27,0.9041095890410958,0.9984586327421141,0.9946091644204852
glutamate_receptor_ionotropic_kainate_2,0.9032258064516128,0.9117647058823528,17,14,py27,0.8749999999999999,0.9986883261023104,0.9933333333333332
platelet_activating_factor_receptor,0.9014084507042254,0.9433614119534696,36,35,py35,0.8787878787878789,0.9892498997192138,0.9943701618578464
histone_deacetylase_7,0.8965517241379308,0.90625,16,13,py27,0.8571428571428572,0.9995487364620942,0.9912280701754386
muscarinic_acetylcholine_receptor_m1,0.8898678414096917,0.9377429473961304,115,112,py35,0.8750000000000001,0.9928070021497828,0.9931355724442266
