model_name,f1,roc_auc,accuracy
e3_ubiquitin_protein_ligase_mdm2,0.9904761904761904,0.9999402828057798,0.9994326241134752
e3_ubiquitin_protein_ligase_xiap,0.9950248756218906,0.9995037097694732,0.9996963255390222
ectonucleotide_pyrophosphatase_phosphodiesterase_family_member_1,0.8888888888888891,0.9006622516556291,0.9935897435897436
ectonucleotide_pyrophosphatase_phosphodiesterase_family_member_2,0.7659574468085107,0.9773250460405156,0.9852941176470588
ef_hand_calcium_binding_domain_containing_protein_4b,0.9333333333333332,1.0,0.9975903614457832
egl_nine_homolog_1,0.9620253164556964,0.999854241570304,0.9980607627666452
egl_nine_homolog_2,0.8000000000000002,0.9988023952095808,0.9921722113502937
egl_nine_homolog_3,0.9714285714285714,1.0,0.99835255354201
elongation_of_very_long_chain_fatty_acids_protein_6,0.9696969696969696,1.0,0.9982698961937716
endoplasmic_reticulum_aminopeptidase_2,0.6666666666666666,1.0,0.9807692307692308
endoplasmin,0.8571428571428571,0.9962850388382304,0.9953488372093025
endothelial_pas_domain_containing_protein_1,1.0,1.0,1.0
endothelin_1_receptor,0.9714285714285714,0.9993476024707498,0.9982642237222756
endothelin_b_receptor,0.9638554216867471,0.9997774925117672,0.9979536152796724
endothelin_converting_enzyme_1,0.98,0.9999679610406254,0.9989401165871754
enteropeptidase,1.0,1.0,1.0
ephrin_type_a_receptor_2,0.3333333333333333,0.9516129032258064,0.9587628865979382
ephrin_type_b_receptor_4,0.9565217391304348,1.0,0.998069498069498
epithelial_discoidin_domain_containing_receptor_1,0.4,0.9776085982982534,0.98159509202454
epoxide_hydrolase_1,0.9152542372881356,0.9992215735335002,0.9959316517493898
equilibrative_nucleoside_transporter_1,0.96875,1.0,0.9984996249062266
estradiol_17_beta_dehydrogenase_1,0.9661016949152544,0.9999728842972966,0.997997997997998
estradiol_17_beta_dehydrogenase_2,0.9770992366412214,0.9999184206232664,0.9985775248933144
estrogen_receptor,0.7692307692307693,1.0,0.972972972972973
eukaryotic_initiation_factor_4a_i,1.0,1.0,1.0
eukaryotic_translation_initiation_factor_2_alpha_kinase_3,0.9565217391304348,0.9997970779220781,0.9978213507625272
eukaryotic_translation_initiation_factor_4e,0.8888888888888891,0.9,0.9915966386554622
excitatory_amino_acid_transporter_1,0.9090909090909092,1.0,0.9915966386554622
excitatory_amino_acid_transporter_2,1.0,1.0,1.0
excitatory_amino_acid_transporter_3,1.0,1.0,1.0
extracellular_calcium_sensing_receptor,0.8823529411764706,0.9994979919678716,0.9941348973607038
e_selectin,0.9615384615384616,0.9997973041451302,0.9974522292993632
fad_linked_sulfhydryl_oxidase_alr,0.4358974358974359,0.8803436767553247,0.9738639738639738
farnesyl_pyrophosphate_synthase,1.0,1.0,1.0
fatty_acid_amide_hydrolase_1,0.9408450704225352,0.9969864189530754,0.9968468468468468
fatty_acid_binding_protein_adipocyte,1.0,1.0,1.0
fatty_acid_binding_protein_epidermal,0.8888888888888891,1.0,0.9896907216494846
fatty_acid_binding_protein_heart,0.8000000000000002,0.9903614457831326,0.9883040935672516
fatty_acid_desaturase_1,0.8571428571428571,0.9975922953451044,0.9891891891891892
fatty_acid_synthase,0.9891304347826086,0.9999747135405378,0.99935504675911
fibroblast_growth_factor_2,1.0,1.0,1.0
fibroblast_growth_factor_receptor_1,0.9343065693430658,0.9886279035139964,0.9962577962577964
fibroblast_growth_factor_receptor_2,0.9508196721311476,0.9691143497757848,0.9973844812554491
fibroblast_growth_factor_receptor_3,0.9640287769784172,0.9975592482990616,0.9978822532825076
flap_endonuclease_1,0.8333333333333333,0.9992125984251968,0.9922779922779924
focal_adhesion_kinase_1,0.962406015037594,0.9996718195554524,0.9977777777777778
folate_receptor_alpha,1.0,1.0,1.0
folate_receptor_beta,0.8,0.8333333333333333,0.9878048780487804
folate_transporter_1,1.0,1.0,1.0
folylpolyglutamate_synthase_mitochondrial,0.8571428571428571,0.875,0.9903846153846154
free_fatty_acid_receptor_1,0.9873417721518988,0.9998646209386282,0.9994124559341949
fructose_1_6_bisphosphatase_1,0.9696969696969696,0.9995235394214408,0.9983452840595698
furin,0.9473684210526316,1.0,0.9978991596638656
g2_mitotic_specific_cyclin_b3,0.9397590361445782,0.9998110355253212,0.9967824967824968
galectin_34,0.8,0.9968553459119496,0.9877300613496932
gamma_aminobutyric_acid_receptor_subunit_alpha_1,0.8055555555555555,0.9946248922104052,0.9863945578231292
gamma_aminobutyric_acid_receptor_subunit_alpha_2,0.875,0.9763429384560656,0.9917525773195875
gamma_aminobutyric_acid_receptor_subunit_alpha_3,0.6923076923076923,0.9902082044939188,0.9823008849557522
gamma_aminobutyric_acid_receptor_subunit_alpha_4,0.6,0.9741784037558686,0.972972972972973
gamma_aminobutyric_acid_receptor_subunit_alpha_5,0.9655172413793104,0.9995532262221841,0.997995991983968
gamma_aminobutyric_acid_receptor_subunit_alpha_6,0.9411764705882352,1.0,0.99438202247191
gamma_aminobutyric_acid_receptor_subunit_beta_1,0.7499999999999999,0.920754716981132,0.981981981981982
gamma_aminobutyric_acid_receptor_subunit_beta_2,0.6666666666666665,0.989351851851852,0.9890510948905108
gamma_aminobutyric_acid_receptor_subunit_beta_3,0.7619047619047621,0.9968971631205674,0.987012987012987
gamma_aminobutyric_acid_receptor_subunit_delta,0.75,0.975,0.9807692307692308
